wardNumber,name,zone,minLat,maxLat,minLng,maxLng
45,Vijayanagara Krishnadevaraya,RR Nagar,12.9697604,12.9985437,77.5046945,77.5263012
46,Sir M. Vishweshwaraiah,RR Nagar,12.9665365,12.9902484,77.4931963,77.5122839
47,Nalvadi Krishnaraja Wadior Park,RR Nagar,12.944315,12.970135,77.4843677,77.5050778
48,Jnana Bharathi,RR Nagar,12.92144,12.9742186,77.497189,77.534878
49,Rajarajeshwari Nagar,RR Nagar,12.8924035,12.9298601,77.5027955,77.5402917
50,Marappana Palya,West,13.0114867,13.0263682,77.537431,77.5540952
51,Nagapura,West,12.9974173,13.013883,77.5406935,77.5544931
52,Mahalakshimpuram,West,13.0021519,13.0130313,77.534612,77.5513157
53,Nandini Layout,West,13.0091381,13.0221465,77.5294137,77.5397223
54,Jai Maruthinagara,West,13.0025815,13.0131725,77.5276357,77.5388994
55,Puneet Rajkumar,West,12.9977485,13.0064478,77.5278141,77.5411699
56,Shankar Matt,West,12.994423,13.0007985,77.5238016,77.5411396
57,Shakthi Ganapathi Nagar,West,12.9909214,12.9969327,77.5222181,77.5398294
58,Vrisabhavathi Nagar,West,12.9838287,12.9930018,77.520061,77.5316036
59,Mattikere,West,13.0206925,13.0419756,77.5572973,77.5650241
60,Aramane Nagara,West,12.99469,13.0382211,77.560617,77.5962538
61,Malleswaram,West,13.0054461,13.0288598,77.5538883,77.5692503
62,Subramanya Nagar,West,13.0004827,13.0156602,77.5532354,77.5615042
63,Gayithri Nagar,West,12.9933694,13.0018831,77.5527034,77.5683296
64,Kadu Malleshwara,West,12.9966144,13.0084357,77.5601378,77.5787962
65,Rajamahal Guttahalli,West,12.9972352,13.0063678,77.5722134,77.5841864
66,Radhakrishna Temple Ward,East,13.0265106,13.0474316,77.5621118,77.5801045
67,Sanjaya Nagar,East,13.0229365,13.0476505,77.5716424,77.5905723
68,Vishwanath Nagenahalli,East,13.0304463,13.0416334,77.5896931,77.6102792
69,Manorayanapalya,East,13.0268521,13.0392329,77.5962599,77.6081678
70,Hebbala,East,13.0262314,13.0404608,77.5859299,77.5993663
71,Chamundi Nagara,East,13.0150565,13.0332448,77.5914364,77.6006707
72,Ganga Nagar,East,13.0172456,13.028704,77.5839181,77.595477
73,Jayachamarajendra  Nagar,East,13.0055883,13.0255767,77.5839284,77.6009439
74,Kaval Bairasandra,East,13.0085176,13.0382057,77.5953914,77.6133014
75,Kushal Nagar,East,13.0148977,13.033409,77.608018,77.6191101
76,Muneshwara Nagar,East,13.0101579,13.0194911,77.607479,77.617314
77,Devara Jeevanahalli,East,13.010929,13.0174393,77.6016337,77.611404
78,S K Garden,East,13.0018607,13.0132034,77.6014591,77.6148712
